Name, Time, ActionType
第三章, 2023/9/1 下午 08:42:48, 錯誤路線
第三章, 2023/9/1 下午 08:42:49, 錯誤路線
第三章, 2023/9/1 下午 08:42:49, 普羅民遮城
第三章, 2023/9/1 下午 08:42:50, 普羅民遮城
第三章, 2023/9/1 下午 08:42:52, 熱蘭遮城
第三章, 2023/9/1 下午 08:42:53, 熱蘭遮城
第三章, 2023/9/1 下午 08:49:32, 熱蘭遮城
第三章, 2023/9/4 上午 12:47:49, 普羅民遮城
第三章, 2023/9/4 上午 01:17:26, 熱蘭遮城
第三章, 2023/9/4 上午 01:24:07, 熱蘭遮城
第三章, 2023/9/4 上午 01:25:27, 熱蘭遮城
第三章, 2023/9/4 上午 01:31:41, 熱蘭遮城
第三章, 2023/9/4 上午 01:34:39, 熱蘭遮城
第三章, 2023/9/4 上午 01:40:28, 熱蘭遮城
第三章, 2023/9/4 上午 01:45:07, 熱蘭遮城
第三章, 2023/9/4 上午 01:50:06, 熱蘭遮城
第三章, 2023/9/4 上午 01:56:59, 熱蘭遮城
第三章, 2023/9/4 下午 01:48:25, 熱蘭遮城
第三章, 2023/9/4 下午 01:48:39, 普羅民遮城
第三章, 2023/9/4 下午 01:48:39, 普羅民遮城
第三章, 2023/9/4 下午 01:48:39, 普羅民遮城
第三章, 2023/9/4 下午 01:48:39, 普羅民遮城
第三章, 2023/9/4 下午 01:48:40, 普羅民遮城
第三章, 2023/9/4 下午 01:48:40, 普羅民遮城
第三章, 2023/9/4 下午 01:48:40, 普羅民遮城
第三章, 2023/9/4 下午 02:24:05, 熱蘭遮城
第三章, 2023/9/4 下午 02:33:52, 熱蘭遮城
第三章, 2023/9/4 下午 02:37:23, 熱蘭遮城
第三章, 2023/9/4 下午 02:42:00, 普羅民遮城
第三章, 2023/9/4 下午 02:42:00, 普羅民遮城
第三章, 2023/9/4 下午 02:42:33, 錯誤路線
第三章, 2023/9/4 下午 02:42:47, 熱蘭遮城
第三章, 2023/9/7 下午 04:44:31, 熱蘭遮城
第三章, 2023/9/7 下午 04:44:33, 普羅民遮城
第三章, 2023/9/7 下午 04:44:33, 普羅民遮城
第三章, 2023/9/7 下午 04:44:33, 普羅民遮城
第三章, 2023/9/7 下午 04:44:35, 熱蘭遮城
第三章, 2023/9/7 下午 04:44:35, 普羅民遮城
第三章, 2023/9/7 下午 04:44:35, 普羅民遮城
第三章, 2023/9/7 下午 04:45:54, 熱蘭遮城
第三章, 2023/9/7 下午 04:45:55, 普羅民遮城
第三章, 2023/9/7 下午 04:45:55, 普羅民遮城
第三章, 2023/9/7 下午 05:32:08, 錯誤路線
第三章, 2023/9/7 下午 05:32:08, 普羅民遮城
第三章, 2023/9/7 下午 05:32:11, 熱蘭遮城
第三章, 2023/9/7 下午 05:32:28, 熱蘭遮城
第三章, 2023/9/7 下午 05:34:34, 熱蘭遮城
